timestamp,rainfall_mm,soil_moisture_pct,ground_tilt_deg,displacement_mm,vibration_g,crack_growth_mm,risk_score,status
2026-01-01 00:00:00,23.15,47.77,1.443,2.61,0.182,0.26,19.07,SAFE
2026-01-01 06:00:00,30.91,45.74,0.551,2.41,0.0,0.99,18.23,SAFE
2026-01-01 12:00:00,20.47,42.47,1.667,1.23,0.125,0.59,17.8,SAFE
2026-01-01 18:00:00,18.44,46.67,0.305,5.24,0.335,0.36,20.01,SAFE
2026-01-02 00:00:00,33.44,45.29,1.006,1.99,0.283,0.83,21.41,SAFE
2026-01-02 06:00:00,19.58,36.16,0.715,0.98,0.219,0.56,14.93,SAFE
2026-01-02 12:00:00,25.81,40.36,2.192,2.94,0.323,0.86,24.17,SAFE
2026-01-02 18:00:00,24.17,47.17,1.466,2.59,0.256,0.21,19.71,SAFE
2026-01-03 00:00:00,33.42,45.72,1.253,0.56,0.363,0.55,20.44,SAFE
2026-01-03 06:00:00,16.25,42.58,1.442,3.5,0.293,0.31,19.62,SAFE
2026-01-03 12:00:00,40.85,52.76,0.06,2.9,0.414,0.33,21.47,SAFE
2026-01-03 18:00:00,13.4,36.67,1.011,0.0,0.22,0.55,13.97,SAFE
2026-01-04 00:00:00,26.92,48.91,2.683,4.13,0.312,0.47,26.44,SAFE
2026-01-04 06:00:00,24.89,45.62,1.341,3.18,0.163,0.63,20.49,SAFE
2026-01-04 12:00:00,12.51,30.36,1.073,0.0,0.103,0.77,12.73,SAFE
2026-01-04 18:00:00,28.41,54.19,1.695,5.09,0.412,0.48,26.91,SAFE
2026-01-05 00:00:00,17.15,36.98,1.736,2.85,0.21,0.33,18.22,SAFE
2026-01-05 06:00:00,9.52,26.46,0.0,1.46,0.266,0.34,10.53,SAFE
2026-01-05 12:00:00,30.77,37.53,0.176,4.92,0.226,0.75,19.91,SAFE
2026-01-05 18:00:00,6.8,30.03,1.07,1.58,0.093,0.18,11.21,SAFE
2026-01-06 00:00:00,10.97,38.88,0.497,1.51,0.173,0.22,12.5,SAFE
2026-01-06 06:00:00,20.31,39.58,2.084,1.02,0.363,0.63,20.72,SAFE
2026-01-06 12:00:00,33.28,43.29,1.178,3.54,0.283,0.67,22.47,SAFE
2026-01-06 18:00:00,29.56,48.8,0.0,3.19,0.004,0.19,14.95,SAFE
2026-01-07 00:00:00,22.9,44.71,0.325,2.17,0.17,0.25,15.2,SAFE
2026-01-07 06:00:00,5.0,38.81,0.0,0.06,0.374,0.53,12.24,SAFE
2026-01-07 12:00:00,12.95,42.01,0.869,1.84,0.15,0.43,15.04,SAFE
2026-01-07 18:00:00,15.15,44.16,0.941,1.65,0.0,0.24,13.44,SAFE
2026-01-08 00:00:00,9.16,23.18,0.668,0.0,0.395,0.28,11.29,SAFE
2026-01-08 06:00:00,3.82,33.67,1.624,0.0,0.24,0.25,12.91,SAFE
2026-01-08 12:00:00,20.98,26.45,2.017,2.9,0.184,0.58,18.55,SAFE
2026-01-08 18:00:00,30.17,44.91,1.224,0.0,0.166,0.32,16.41,SAFE
2026-01-09 00:00:00,14.3,39.54,0.0,2.02,0.308,0.22,13.65,SAFE
2026-01-09 06:00:00,33.01,52.88,1.826,1.93,0.151,0.65,22.49,SAFE
2026-01-09 12:00:00,6.1,45.27,1.299,3.27,0.3,0.26,18.02,SAFE
2026-01-09 18:00:00,8.71,39.21,1.173,0.7,0.232,0.41,14.45,SAFE
2026-01-10 00:00:00,20.68,38.12,1.859,3.02,0.221,0.23,19.03,SAFE
2026-01-10 06:00:00,13.42,42.69,0.226,1.08,0.194,0.43,13.26,SAFE
2026-01-10 12:00:00,28.58,40.45,2.721,2.6,0.186,0.74,23.68,SAFE
2026-01-10 18:00:00,25.63,43.19,0.59,3.39,0.327,0.6,20.04,SAFE
2026-01-11 00:00:00,14.13,46.43,1.579,1.01,0.074,0.39,15.91,SAFE
2026-01-11 06:00:00,6.63,33.22,0.0,2.83,0.0,0.26,9.62,SAFE
